,index_type,M,efConstruction,ef,recall,query_per_sec,loss
5869,HNSW,14,308,31100,100.0,2559.1721428004857,-2554.1721428004857
5870,HNSW,14,308,31200,100.0,2454.273309225386,-2449.273309225386
5871,HNSW,14,308,31300,100.0,2601.2155491057038,-2596.2155491057038
5872,HNSW,14,308,31400,100.0,2563.630140335436,-2558.630140335436
5873,HNSW,14,308,31500,100.0,2442.624611997927,-2437.624611997927
5874,HNSW,14,308,31600,100.0,2521.357851771255,-2516.357851771255
5875,HNSW,14,308,31700,100.0,2501.299460297582,-2496.299460297582
5876,HNSW,14,308,31800,100.0,2423.262558858364,-2418.262558858364
5877,HNSW,14,308,31900,100.0,2562.392859542908,-2557.392859542908
5878,HNSW,14,308,32000,100.0,2415.531073088419,-2410.531073088419
5879,HNSW,14,308,32100,100.0,2560.64078535278,-2555.64078535278
5880,HNSW,14,308,32200,100.0,2416.1711589753045,-2411.1711589753045
5881,HNSW,14,308,32300,100.0,2382.450440215848,-2377.450440215848
5882,HNSW,14,308,32400,100.0,2322.530344644281,-2317.530344644281
5883,HNSW,14,308,32500,100.0,2091.2442350360234,-2086.2442350360234
5884,HNSW,14,308,32600,100.0,2521.297225812269,-2516.297225812269
5885,HNSW,14,308,32700,100.0,2495.168860836303,-2490.168860836303
5886,HNSW,14,358,100,99.3,11371.91660114416,-11367.61660114416
5887,HNSW,14,358,200,99.98,14660.78506763606,-14655.80506763606
5888,HNSW,14,358,300,100.0,14704.473425886972,-14699.473425886972
5889,HNSW,14,358,400,100.0,13012.049388844078,-13007.049388844078
5890,HNSW,14,358,500,100.0,11442.651752830448,-11437.651752830448
5891,HNSW,14,358,600,100.0,10751.868751602153,-10746.868751602153
5892,HNSW,14,358,700,100.0,10768.707797376055,-10763.707797376055
5893,HNSW,14,358,800,100.0,10145.873246250603,-10140.873246250603
